,Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
43,Kevin Ginkel,32,0,Maj-NL,"Aug 9, 2026",Arizona,,Los Angeles,1,0,,,1.0,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,13,0.77,0.08,0.31,0.0,0.0,0.0,0.0,0.0,18.0,,656464
44,J.T. Ginn,27,0,Maj-AL,"Aug 9, 2026",Athletics,@,Boston,1,1,,,,6.0,5,3,1,2,2,0,2,1.5,54,22,0,0,0,1,1,0,0,0,27,95,0.57,0.14,0.11,0.38,0.29,0.14,1.167,0.238,3.0,1.0,669372
45,Yoendrys G\xc3\xb3mez,26,0,Maj-AL,"Aug 9, 2026",Minnesota,@,Milwaukee,1,0,,1.0,,0.1,1,1,0,1,1,0,0,0.0,,2,0,0,1,0,0,0,0,0,3,9,0.89,0.11,0.33,0.0,1.0,0.0,6.0,1.0,27.0,1.0,672782
46,Tanner Gordon,28,0,Maj-NL,"Aug 9, 2026",Colorado,@,St. Louis,1,0,,1.0,,3.1,4,2,2,0,2,0,0,5.4,,12,0,0,0,1,0,0,0,0,13,48,0.71,0.13,0.1,0.64,0.18,0.0,1.2,0.4,5.4,,685299
47,Tyron Guerrero,35,0,Maj-AL,"Aug 9, 2026",Boston,,Athletics,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,15,0.73,0.07,0.27,1.0,0.0,0.0,0.0,0.0,9.0,,594027
48,Ryan Gusto,27,0,Maj-NL,"Aug 9, 2026",Miami,,Los Angeles,1,1,,,,4.0,3,2,2,1,4,1,0,4.5,51,17,2,0,0,0,0,0,0,0,18,60,0.73,0.35,0.07,0.38,0.23,0.0,1.0,0.167,9.0,4.0,687473
49,DL Hall,27,0,Maj-NL,"Aug 9, 2026",Milwaukee,,Minnesota,1,0,1.0,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,11,0.73,0.09,0.09,0.0,0.0,0.5,0.0,0.0,9.0,,669084
50,Emerson Hancock,27,0,Maj-AL,"Aug 9, 2026",Seattle,,Tampa Bay,1,1,,1.0,,4.2,9,2,2,1,3,0,1,3.86,40,23,1,0,0,0,0,0,0,0,25,96,0.64,0.1,0.08,0.45,0.2,0.05,2.143,0.45,5.8,3.0,676106
51,Hogan Harris,29,0,Maj-AL,"Aug 9, 2026",Athletics,@,Boston,1,0,,,1.0,1.0,1,0,0,1,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,5,20,0.7,0.3,0.05,0.67,0.33,0.0,2.0,0.333,9.0,1.0,663687
53,Kyle Hart,33,0,Maj-NL,"Aug 9, 2026",San Diego,,Houston,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,7,0.86,0.29,0.14,0.5,0.0,0.0,0.0,0.0,9.0,,606996
